,capital,latitud_dec,altitud,num_hab,zona_comarcal,longitud_dec
2413,Cudillero,43.56291710,7.0,5369,633301,-6.14543206
2414,Cuelgamures,41.30697568,809.0,95,674902,-5.65797024
2415,Cuenca,40.07653762,997.0,55738,681602,-2.13152306
2416,Cuenca de Campos,42.05747381,773.0,254,674701,-5.05590690
2417,"Cuerlas, Las",40.95850584,1009.0,51,625002,-1.54999291
2418,Cuerva,39.66408004,766.0,1490,684503,-4.21235625
2419,"Cuervo, El",36.85104185,60.0,8721,614102,-6.03991511
2420,"Cuervo, El",40.15131198,902.0,85,624401,-1.32520055
2421,"Cueva de Roa, La",41.66637828,766.0,102,670904,-3.94194795
2422,Cueva de Ágreda,41.76315524,1308.0,82,674201,-1.88933448
2423,Cueva del Hierro,40.58271790,1334.0,34,681602,-2.03662443
2424,Cuevas Bajas,37.23576989,322.0,1431,612901,-4.48846113
2425,Cuevas Labradas,40.45324859,969.0,127,624401,-1.05129761
2426,Cuevas de Almudén,40.71407387,1283.0,145,624402,-0.82911642
2427,Cuevas de Provanco,41.54180773,890.0,142,674001,-3.96090485
2428,Cuevas de San Clemente,42.12978308,1032.0,53,670905,-3.56876149
2429,Cuevas de San Marcos,37.26765901,422.0,3951,612901,-4.41410228
2430,Cuevas del Almanzora,37.29673130,89.0,13737,610404,-1.87991806
2431,Cuevas del Becerro,36.87520846,736.0,1670,612902,-5.04657706
2432,Cuevas del Campo,37.60590580,844.0,1919,611802,-2.93101233
2433,Cuevas del Valle,40.29420346,842.0,531,670503,-5.00939452
2434,Culla,40.33780445,1094.0,559,771203,-0.16603305
2435,Cullera,39.16508089,4.0,22461,774604,-0.25463848
2436,Tarrío,43.28851114,74.0,29434,711501,-8.38830228
2437,"Cumbre, La",39.40419145,480.0,929,701003,-5.97912549
2438,Cumbres Mayores,38.06371732,695.0,1872,612101,-6.64715397
2439,Cumbres de Enmedio,38.07203503,589.0,48,612101,-6.69258440
2440,Cumbres de San Bartolomé,38.07699788,578.0,426,612101,-6.74345244
2441,Cunit,41.19786799,9.0,11989,694303,1.63406068
2442,Cuntis,42.63208778,157.0,4931,713602,-8.56651245
2443,Curiel de Duero,41.63994419,798.0,121,674701,-4.09919230
2444,Teixeiro,43.13887075,488.0,4048,711503,-8.03750274
