,SO2(001):,NO(007):,NO2(008):,O3(014):,VEL(081):,DIR(082):,TEM(083):,HUM(086):,PRE(087):,RAD(088):,LLU(089):,PM10(010):,date,estacion
54,+00000.64,+00000.19,+00001.50,+00064.92,+00004.07,+00123.30,+00013.19,+00095.91,+00973.12,+00014.14,+00000.40,+00000.00,31-10-2024 09:10 ,11
55,+00000.50,+00000.21,+00001.27,+00065.27,+00003.73,+00126.11,+00013.25,+00095.93,+00973.18,+00020.94,+00000.00,+00000.00,31-10-2024 09:20 ,11
56,+00000.38,+00000.32,+00001.22,+00062.86,+00003.86,+00123.64,+00013.56,+00095.87,+00973.16,+00040.49,+00000.20,+00000.00,31-10-2024 09:30 ,11
57,+00000.54,+00000.32,+00001.09,+00061.36,+00003.57,+00119.33,+00013.71,+00095.68,+00973.19,+00049.74,+00000.00,+00000.00,31-10-2024 09:40 ,11
58,+00000.56,+00000.31,+00001.16,+00061.73,+00003.84,+00119.31,+00013.90,+00095.67,+00973.20,+00101.27,+00000.00,+00000.00,31-10-2024 09:50 ,11
59,+00000.61,+00000.32,+00001.40,+00061.86,+00003.85,+00121.14,+00014.18,+00095.38,+00973.29,+00108.41,+00000.00,+00000.00,31-10-2024 10:00 ,11
60,+00000.59,+00000.28,+00001.62,+00061.01,+00003.60,+00124.00,+00014.60,+00094.80,+00973.30,+00090.90,+00000.00,+00000.00,31-10-2024 10:10 ,11
61,+00000.77,+00000.33,+00001.72,+00057.52,+00003.30,+00119.00,+00014.80,+00094.60,+00973.30,+00115.50,+00000.00,+00000.00,31-10-2024 10:20 ,11
62,+00000.71,+00000.40,+00001.73,+00059.48,+00003.90,+00120.00,+00015.10,+00093.90,+00973.20,+00126.10,+00000.00,+00000.00,31-10-2024 10:30 ,11
63,+00000.63,+00000.43,+00002.06,+00057.42,+00003.00,+00127.00,+00015.30,+00094.00,+00973.20,+00101.80,+00000.00,+00000.00,31-10-2024 10:40 ,11
64,+00000.48,+00000.49,+00002.20,+00057.12,+00002.90,+00128.00,+00015.50,+00093.70,+00973.20,+00111.10,+00000.00,+00000.00,31-10-2024 10:50 ,11
65,+00000.51,+00000.50,+00001.91,+00059.00,+00003.60,+00123.00,+00015.60,+00092.90,+00973.20,+00121.90,+00000.00,+00000.00,31-10-2024 11:00 ,11
66,+00000.29,+00000.46,+00001.98,+00056.61,+00003.24,+00127.72,+00015.73,+00093.14,+00973.21,+00122.00,+00000.00,+00000.00,31-10-2024 11:10 ,11
67,+00000.38,+00000.47,+00001.89,+00063.41,+00004.54,+00152.31,+00015.93,+00092.26,+00973.36,+00078.88,+00000.20,+00000.00,31-10-2024 11:20 ,11
68,+00000.47,+00000.26,+00001.55,+00068.74,+00004.05,+00160.15,+00015.91,+00091.24,+00973.40,+00065.77,+00000.20,+00000.00,31-10-2024 11:30 ,11
69,+00000.42,+00000.25,+00001.51,+00068.56,+00003.28,+00154.23,+00015.90,+00091.31,+00973.40,+00061.38,+00000.00,+00000.00,31-10-2024 11:40 ,11
70,+00000.43,+00000.34,+00001.71,+00067.88,+00003.61,+00155.40,+00015.90,+00091.10,+00973.34,+00085.41,+00000.00,+00000.00,31-10-2024 11:50 ,11
71,+00000.45,+00000.28,+00001.89,+00065.48,+00002.63,+00142.18,+00015.95,+00091.01,+00973.31,+00114.03,+00000.00,+00000.00,31-10-2024 12:00 ,11
72,+00000.21,+00000.39,+00001.83,+00067.05,+00003.20,+00157.00,+00016.40,+00089.90,+00973.20,+00185.40,+00000.00,+00000.00,31-10-2024 12:10 ,11
73,+00000.50,+00000.39,+00001.53,+00068.44,+00003.50,+00157.00,+00016.60,+00087.80,+00973.20,+00166.50,+00000.00,+00000.00,31-10-2024 12:20 ,11
74,+00000.57,+00000.28,+00001.53,+00069.27,+00003.90,+00166.00,+00016.80,+00086.70,+00973.20,+00153.10,+00000.00,+00000.00,31-10-2024 12:30 ,11
75,+00000.62,+00000.31,+00001.49,+00067.84,+00003.30,+00159.00,+00017.00,+00086.10,+00973.10,+00158.80,+00000.00,+00000.00,31-10-2024 12:40 ,11
76,+00000.66,+00000.32,+00001.37,+00070.03,+00004.20,+00162.00,+00017.20,+00086.20,+00973.00,+00183.80,+00000.00,+00000.00,31-10-2024 12:50 ,11
77,+00000.43,+00000.30,+00001.48,+00067.26,+00003.40,+00167.00,+00017.30,+00084.10,+00973.00,+00116.30,+00000.00,+00000.00,31-10-2024 13:00 ,11
